City,Latitude,Longitude,Maxium Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date,Hemisphere
Bredasdorp,-34.5322,20.0403,57.2,88,100,3.44,ZA,1619371781,Southern Hemisphere
East London,-33.0153,27.9116,68.0,83,0,9.22,ZA,1619371782,Southern Hemisphere
Tuktoyaktuk,69.4541,-133.0374,10.4,85,90,10.36,CA,1619371782,Northern Hemisphere
Punta Arenas,-53.15,-70.9167,59.0,47,75,23.02,CL,1619371495,Southern Hemisphere
Avarua,-21.2078,-159.775,78.8,83,75,10.36,CK,1619371695,Southern Hemisphere
Salalah,17.0151,54.0924,84.2,70,75,8.05,OM,1619371783,Northern Hemisphere
Hobart,-42.8794,147.3294,57.2,62,90,13.8,AU,1619371783,Southern Hemisphere
Port Alfred,-33.5906,26.891,70.56,71,97,16.22,ZA,1619371544,Southern Hemisphere
Constitución,-35.3333,-72.4167,65.39,55,0,12.71,CL,1619371783,Southern Hemisphere
Atuona,-9.8,-139.0333,80.06,71,68,18.41,PF,1619371784,Southern Hemisphere
Vila Velha,-20.3297,-40.2925,87.01,66,20,13.8,BR,1619371513,Southern Hemisphere
Garelochhead,56.082,-4.8291,60.8,41,46,3.44,GB,1619371784,Northern Hemisphere
Thompson,55.7435,-97.8558,33.8,44,90,10.36,CA,1619371785,Northern Hemisphere
Flinders,-34.5833,150.8552,53.01,84,60,1.01,AU,1619371703,Southern Hemisphere
Chokurdakh,70.6333,147.9167,17.51,94,100,13.44,RU,1619371785,Northern Hemisphere
Yangi Marg`ilon,40.4272,71.7189,62.6,39,39,4.61,UZ,1619371786,Northern Hemisphere
Rikitea,-23.1203,-134.9692,77.38,76,84,7.07,PF,1619371786,Southern Hemisphere
Busselton,-33.65,115.3333,54.0,95,8,4.76,AU,1619371651,Southern Hemisphere
Bubaque,11.2833,-15.8333,79.39,60,26,15.66,GW,1619371787,Northern Hemisphere
Ahipara,-35.1667,173.1667,58.01,82,86,6.49,NZ,1619371788,Southern Hemisphere
Sisimiut,66.9395,-53.6735,42.55,66,57,0.63,GL,1619371788,Northern Hemisphere
Itaguaí,-22.8522,-43.7753,82.4,61,20,6.91,BR,1619371788,Southern Hemisphere
Shakawe,-18.3667,21.85,75.65,25,44,3.36,BW,1619371789,Southern Hemisphere
Bethel,41.3712,-73.414,52.0,84,100,5.06,US,1619371598,Northern Hemisphere
Cape Town,-33.9258,18.4232,66.0,88,0,17.27,ZA,1619371535,Southern Hemisphere
Butaritari,3.0707,172.7902,82.22,77,27,10.6,KI,1619371789,Northern Hemisphere
Pacific Grove,36.6177,-121.9166,59.0,51,75,5.75,US,1619371729,Northern Hemisphere
Hilo,19.7297,-155.09,68.0,83,90,3.44,US,1619371519,Northern Hemisphere
Mar del Plata,-38.0023,-57.5575,64.4,68,75,16.11,AR,1619371511,Southern Hemisphere
Pisco,-13.7,-76.2167,69.8,83,20,8.05,PE,1619371790,Southern Hemisphere
Puerto Ayora,-0.7393,-90.3518,82.4,65,20,18.41,EC,1619371791,Southern Hemisphere
Kitimat,54.0524,-128.6534,55.0,47,2,4.99,CA,1619371755,Northern Hemisphere
Lagoa,39.05,-27.9833,59.54,79,30,14.43,PT,1619371791,Northern Hemisphere
Salina Cruz,16.1667,-95.2,90.88,52,96,4.38,MX,1619371791,Northern Hemisphere
Kapoeta,4.7717,33.5903,81.88,51,100,5.59,SS,1619371792,Northern Hemisphere
Coyhaique,-45.5752,-72.0662,57.2,51,40,9.22,CL,1619371792,Southern Hemisphere
Upernavik,72.7868,-56.1549,35.38,87,27,4.05,GL,1619371793,Northern Hemisphere
Kahului,20.8947,-156.47,73.4,73,20,11.5,US,1619371793,Northern Hemisphere
Ushuaia,-54.8,-68.3,55.4,50,75,18.41,AR,1619371793,Southern Hemisphere
Vaini,-21.2,-175.2,75.2,94,75,6.91,TO,1619371794,Southern Hemisphere
Saint George,37.1041,-113.5841,77.0,16,1,31.07,US,1619371794,Northern Hemisphere
Lata,40.1629,-8.3327,61.0,88,84,4.29,PT,1619371794,Northern Hemisphere
Chamba,32.5667,76.1333,64.74,46,0,8.86,IN,1619371795,Northern Hemisphere
Oruzgan,32.8333,66.0,68.79,12,2,2.19,AF,1619371795,Northern Hemisphere
Sept-Îles,50.2001,-66.3821,46.99,49,20,16.11,CA,1619371666,Northern Hemisphere
Kaitangata,-46.2817,169.8464,37.0,77,41,1.99,NZ,1619371795,Southern Hemisphere
Kousséri,12.0769,15.0306,102.2,14,79,2.3,CM,1619371795,Northern Hemisphere
Ambo,-10.1308,-76.2047,74.17,55,52,8.14,PE,1619371796,Southern Hemisphere
Hithadhoo,-0.6,73.0833,83.28,66,57,3.94,MV,1619371796,Southern Hemisphere
Faya,18.3851,42.4509,62.6,59,40,8.05,SA,1619371797,Northern Hemisphere
Songjianghe,42.1859,127.479,35.37,45,7,3.8,CN,1619371797,Northern Hemisphere
Kapaa,22.0752,-159.319,73.4,78,75,11.5,US,1619371798,Northern Hemisphere
Barrow,71.2906,-156.7887,10.4,92,1,12.66,US,1619371798,Northern Hemisphere
Bengkulu,-3.8004,102.2655,77.38,86,100,4.81,ID,1619371784,Southern Hemisphere
Yar-Sale,66.8333,70.8333,32.23,94,100,10.07,RU,1619371616,Northern Hemisphere
Halifax,44.6453,-63.5724,60.01,58,59,13.8,CA,1619371749,Northern Hemisphere
Lompoc,34.6391,-120.4579,57.2,58,100,3.8,US,1619371799,Northern Hemisphere
Larsnes,62.2028,5.5773,42.01,52,40,4.61,NO,1619371799,Northern Hemisphere
Hermanus,-34.4187,19.2345,63.0,83,100,0.92,ZA,1619371800,Southern Hemisphere
Bluff,-46.6,168.3333,42.01,83,76,5.99,NZ,1619371800,Southern Hemisphere
Aklavik,68.2191,-135.0107,21.2,79,20,12.66,CA,1619371653,Northern Hemisphere
Shingū,33.7333,135.9833,45.01,68,0,10.56,JP,1619371800,Northern Hemisphere
Deputatsky,69.3,139.9,15.24,93,100,6.13,RU,1619371801,Northern Hemisphere
Jamestown,42.097,-79.2353,51.01,81,90,11.5,US,1619371795,Northern Hemisphere
Châteaudun,48.0833,1.3333,62.6,39,97,19.57,FR,1619371801,Northern Hemisphere
Kemijärvi,66.7131,27.4306,32.04,89,100,13.4,FI,1619371802,Northern Hemisphere
New Norfolk,-42.7826,147.0587,55.99,81,99,1.01,AU,1619371803,Southern Hemisphere
Yellowknife,62.456,-114.3525,6.8,56,75,5.75,CA,1619371776,Northern Hemisphere
Arlit,18.7369,7.3853,98.2,10,91,5.03,NE,1619371804,Northern Hemisphere
Geraldton,-28.7667,114.6,60.8,77,3,5.75,AU,1619371804,Southern Hemisphere
Samarai,-10.6167,150.6667,82.98,77,88,12.91,PG,1619371805,Southern Hemisphere
Ponta do Sol,32.6667,-17.1,68.0,60,40,6.91,PT,1619371805,Northern Hemisphere
Port Lincoln,-34.7333,135.8667,59.38,78,44,7.99,AU,1619371806,Southern Hemisphere
Airai,-8.9266,125.4092,55.08,81,20,1.95,TL,1619371806,Southern Hemisphere
Tasiilaq,65.6145,-37.6368,39.2,65,75,23.02,GL,1619371806,Northern Hemisphere
Niquero,20.0431,-77.5828,86.92,59,17,7.52,CU,1619371807,Northern Hemisphere
Albany,42.6001,-73.9662,54.0,71,90,4.61,US,1619371583,Northern Hemisphere
Saint-Joseph,-21.3667,55.6167,78.8,73,0,23.02,RE,1619371779,Southern Hemisphere
